Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"把悲伤留给自己 - 女声版","洋澜一","把悲伤留给自己 (女声版)","Favorite Songs","Favorite","HKD012376492","6UNPBBPPxPoPfeHdAjnNM2"
"愛江山更愛美人","李麗芬","就這樣約定","Favorite Songs","Favorite","TWA459438708","3Vk5iJOtG6ny2L5uAIzcoj"
"爱殇 - 电视剧《东宫》插曲","小时姑娘","爱殇 (电视剧《东宫》插曲)","Favorite Songs","Favorite","FRX872370829","6iJsXHavLjQME8c1yq9O7O"
"天际","洋澜一","天际","Favorite Songs","Favorite","KJTCX7451333","7kqHlfpkAuDr42MUPzqLJU"
"Frieren: Demon's Bane","James Liam Figueroa","Frieren EP Project","Favorite Songs","Favorite","QZYD92402813","4kVbHDBjkge3GVA0vdTBSE"
"Cherry blossoms, Season of The Beginning - New Fishbelly Pub Theme","NCSOUND","The Myth of the Genesis (Blade & Soul 2 Original Soundtrack)","Favorite Songs","Favorite","KRA602100702","3amk6sdW1L7XpVIuENOG8q"
"勇者","YOASOBI","THE BOOK 3","Favorite Songs","Favorite","JPP302300523","0YTM7bCx451c6LQbkddy4Q"
"One Last Adventure (From ""Frieren"") - Piano - Felt Version","maats","Frieren - Piano (Original Soundtrack 葬送のフリーレン) Felt Version","Favorite Songs","Favorite","QZWFQ2474151","7n8RFIhDfd9tC6PzhfxBgO"
"Anytime Anywhere","milet","Anytime Anywhere","Favorite Songs","Favorite","JPU902303912","7FeEiAWqWScpMFnlLSUvX2"
"bliss","milet","Anytime Anywhere","Favorite Songs","Favorite","JPU902305178","3UMRhdJ5UDK68YiW0AqDtH"
"Wash My Pain Away","Borislav Slavov","Baldur's Gate 3 (Original Game Soundtrack): Streets and Taverns","Favorite Songs","Favorite","BGA472403267","3lRLdQyvXpE0cFhihkeB8i"
"The White Dragon","KOKIA","LAYERS lights and shadows (digital edition)","Favorite Songs","Favorite","QT66K2617318","5aMZODO0JIQI8IKiUsHkcY"
"REVIVƎЯ","Sawano Hiroyuki","俺だけレベルアップな件 Season2 -Arise from the Shadow- Original Soundtrack","Favorite Songs","Favorite","JPE302401091","3k7cp9Y7AARF3RmXjl8pe0"
"Time Flows Ever Onward","Evan Call","TVアニメ『葬送のフリーレン』Original Soundtrack〜Pre-release〜","Favorite Songs","Favorite","JPV432300397","3tDf9KhhVIhR43uM0pVc4k"
"Down by the River","Borislav Slavov","Baldur's Gate 3 (Original Game Soundtrack)","Favorite Songs","Favorite","BGA472329247","4H1FlITv3PMErUOyQYgUDK"
"The Call of Destiny","Bill Brown","Chaotic Chronicle (Lineage2 Original Soundtrack)","Favorite Songs","Favorite","KRA601100501","2KHdTGFledSbPFx018uqdi"
"Nod-Krai","HOYO-MiX","Genshin Impact - Outside It Is Growing Dark (Original Game Soundtrack)","Favorite Songs","Favorite","DGA062533023","2iLXob2hgJHqsqPdU8dRdt"
"De Anima / On the Soul","Wuthering Waves","Into the Depths","Favorite Songs","Favorite","QZWFK2441394","0sEjsavCKvnrDIWOD0T8Yh"
"Evolution of Magic","Evan Call","Frieren: Beyond Journey's End Original Soundtrack","Favorite Songs","Favorite","JPV432300553","0aCE3uLbw5VCq94aQJLNq7"
"The Streets of Whiterun","Jeremy Soule","The Elder Scrolls V: Skyrim (Original Game Soundtrack)","Favorite Songs","Favorite","QMTH31100047","31vc8VMdqPRTExkgTp7hib"
"航拍中国 02-2","王备","航拍中国","Favorite Songs","Favorite","DGA0M2464519","6eMSdn1JEAcre3TBXkItIr"
